       match_id               subtype    team
530        1934                  shot    8650
531        1934                  shot    8650
532        1935            loose_ball   10261
533        1935                  shot   10260
534        1935                  shot   10260
535        1936               penalty    8456
536        1936                  shot    8456
537        1938                  shot    8667
538        1939             clearance   10260
539        1939                  shot    8650
540        1939       direct_freekick    8650
541        1939       direct_freekick    8650
542        1939              distance    8650
543        1940               penalty    8655
544        1940                  shot    9825
545        1940                volley    9825
546        1940                  shot    9825
547        1941              distance    8528
548        1941                  shot    8472
549        1941                  shot    8528
550        1941                  shot    8472
551        1941                  shot    8472
552        1943                header    8586
553        1943                  shot    8586
554        1943                header   10252
555        1944                  shot    8668
556        1944            loose_ball    8668
557        1944                header   10194
558        1944             deflected    8668
559        1945                volley    8462
560        1945                  shot    8549
561        1946                  shot    8559
562        1946                  shot    9879
563        1946                  shot    8559
564        1946                  shot    9879
565        1946                  shot    9879
566        1947                header    8667
567        1947                volley   10261
568        1948                  shot    8455
569        1948                  shot    8455
570        1949              distance   10260
571        1949                  shot   10260
572        1949                  shot   10260
573        1949                header   10260
574        1949                  shot   10260
575        1950                header    9825
576        1950                  shot    9825
577        1950                  shot    9825
578        1951                  shot    8456
579        1951                  shot    8456
580        1951                  shot    8456
581        1952                header    8654
582        1952       direct_freekick    8655
583        1952                  shot    8655
584        1952                  shot    8655
585        1952                 saved    8655
586        1952                  shot    8654
587        1952                  shot    8654
588        1954                  shot    8462
589        1954                  shot    8462
590        1954                 saved    8668
591        1954              distance    8462
592        1955       direct_freekick    8549
593        1955              crossbar    8549
594        1955             clearance    8549
595        1955                  shot    8549
596        1956            loose_ball    8559
597        1956                  shot    8559
598        1957                  shot    8667
599        1957                  shot    8528
600        1957                  shot    8528
601        1957                  shot    8528
602        1957                  shot    8528
603        1958                  shot    8455
604        1958                  shot    8586
605        1959                volley    8650
606        1959                  shot    8650
607        1959              backheel    8650
608        1959              distance    8650
609        1959              backheel    8650
610        1960                  shot    8586
611        1961                 saved   10261
612        1961                header    9825
613        1961            loose_ball   10261
614        1961                  shot    9825
615        1961                  shot    9825
616        1962                 saved    8456
617        1962                header    8456
618        1963                  shot    8654
619        1963                  shot    8655
620        1964                   lob    9879
621        1964          bicycle_kick    9879
622        1965                  shot    8659
623        1965              distance    8559
624        1965                volley    8559
625        1966       direct_freekick    8668
626        1966                header    8462
627        1966                header    8462
628        1967                header   10194
629        1968                  shot    8528
630        1969                  shot   10260
631        1969                header   10252
632        1969                header   10252
633        1969              distance   10260
634        1969                  shot   10260
635        1970                header    9825
636        1970                  shot    9825
637        1971                  shot    8654
638        1971                header    8654
639        1972                  shot    8668
640        1972                volley    8668
641        1972            loose_ball    8668
642        1972            loose_ball    8668
643        1973                header    8455
644        1973                  shot    8455
645        1974              backheel    8586
646        1974                  shot    8655
647        1974                  shot    8655
648        1975                  shot    8650
649        1976                  shot    8559
650        1976                  shot    8549
651        1976                  shot    8559
652        1976       direct_freekick    8559
653        1976                  shot    8559
654        1977                  shot   10194
655        1977                  shot   10194
656        1979                  shot    8650
657        1979                header    8650
658        1979              distance    8650
659        1979                header    8650
660        1980                header   10260
661        1980                  shot    8472
662        1980                  shot   10260
663        1981                  shot    8586
664        1982                  shot    8668
665        1982                header    8668
666        1982                  shot   10252
667        1982              distance    8668
668        1982       direct_freekick   10252
669        1982               penalty   10252
670        1983            loose_ball    8549
671        1983                header    8667
672        1983                volley    8549
673        1983                  shot    8549
674        1984              distance    8456
675        1984                  shot    9879
676        1984              distance    9879
677        1984                  shot    9879
678        1985                  shot    8462
679        1985            loose_ball    8659
680        1985       direct_freekick    8659
681        1985       direct_freekick    8462
682        1986                header   10194
683        1986                header   10261
684        1987                volley    8528
685        1987                  shot    9825
686        1987                  shot    9825
687        1987            loose_ball    9825
688        1987                  shot    9825
689        1988                  shot    8455
690        1988                  shot    8455
691        1988             clearance    8455
692        1988                  shot    8455
693        1988                  shot    8559
694        1988                  shot    8559
695        1988                header    8559
696        1989                  shot    9825
697        1989                header    8650
698        1989                header    8650
699        1989              distance    9825
700        1989                  shot    9825
701        1989                  shot    8650
702        1989                  shot    9825
703        1989                  shot    9825
704        1989                  shot    8650
705        1989                  shot    9825
706        1990                header    8472
707        1990                header    8472
708        1991            loose_ball    8586
709        1992                  shot   10252
710        1992                header    8654
711        1994                  shot    8456
712        1994                header    8456
713        1994              distance    8659
714        1994       direct_freekick    8659
715        1994       direct_freekick    8456
716        1994                  shot    8456
717        1995                  shot    8462
718        1996                  shot   10194
719        1997                  shot    8528
720        1997                  shot   10260
721        1997                  shot   10260
722        1999                  shot    8586
723        1999                  shot    8586
724        1999             clearance   10260
725        1999                  shot   10260
726        1999                header   10260
727        1999                  shot   10260
728        1999            loose_ball   10260
729        2000                  shot    9825
730        2000                  shot    9825
731        2001                  shot    8455
732        2001  saved_back_into_play    8654
733        2002                  shot    8456
734        2002                  shot    8456
735        2002                  shot    8668
736        2004                header    8655
737        2004                header    8655
738        2005                  shot    9879
739        2006              distance   10252
740        2006                  shot    8559
741        2007                  shot    8659
742        2007                  shot    8659
743        2007                  shot    8659
744        2008              distance    8650
745        2008                header    8650
746        2008                  shot    8667
747        2008            loose_ball    8650
748        2009                  shot    8650
749        2009                header    8650
750        2009                header    8650
751        2010                  shot    8668
752        2010                  shot    8668
753        2011              distance    8586
754        2011                  shot    8586
755        2012                  shot   10252
756        2013              distance   10260
757        2013                  shot   10260
758        2014                  shot    8456
759        2014                  shot    8456
760        2014             clearance    8456
761        2014  saved_back_into_play    8655
762        2014                  shot    8655
763        2015                header    9825
764        2015              freekick    9825
765        2015                  shot    9825
766        2016                  shot   10194
767        2016                  shot    8654
768        2016       direct_freekick    8654
769        2017                  shot    8559
770        2018                  shot    8455
771        2018                  shot    9879
772        2018                  shot    8455
773        2018                  shot    8455
774        2018                  shot    8455
775        2019       direct_freekick   10260
776        2019              distance   10260
777        2020                header    8455
778        2020              distance    8455
779        2020                  shot    9825
780        2020                header    9825
781        2020            loose_ball    8455
782        2021                  shot    8650
783        2021                  post    8650
784        2021                  shot    8650
785        2021            loose_ball    8650
786        2023              freekick   10261
787        2023                header   10261
788        2023                  shot   10261
789        2023                  shot   10261
790        2024                  shot    8655
791        2024                header    8655
792        2024       direct_freekick    8655
793        2024                missed    8462
794        2025       direct_freekick    9879
795        2025                  shot   10252
796        2025                  shot    9879
797        2025                  shot    9879
798        2027            loose_ball    8659
799        2027             deflected    8528
800        2027  saved_back_into_play    8659
801        2027            loose_ball    8659
802        2027             deflected    8659
803        2028                  shot   10194
804        2028              distance   10194
805        2028       direct_freekick    8667
806        2030                  shot    8586
807        2030                  shot    8586
808        2030                  shot    8456
809        2030                 cross    8586
810        2031              distance    8654
811        2031                header    8668
812        2031                  shot    8668
813        2031                  shot    8668
814        2032          bicycle_kick    8549
815        2032                  shot   10252
816        2033                  shot    9879
817        2033                header   10261
818        2034            loose_ball    8559
819        2034                  shot    8667
820        2035            loose_ball    8650
821        2035              distance    8650
822        2035                  shot    8659
823        2036                  shot    8472
824        2036                  shot    8462
825        2036                   lob    8472
826        2036                  shot    8462
827        2036                  shot    8472
828        2037            loose_ball   10194
829        2037                header   10194
830        2038                header    8455
831        2038                  shot    8455
832        2039               penalty   10194
833        2039                   lob    9825
834        2039                header    9825
835        2039             clearance   10194
836        2039                volley    9825
837        2040                header    8650
838        2040                   lob    8586
839        2040                  shot    8586
840        2040                  shot    8650
841        2041              distance    8455
842        2041                  shot    8472
843        2041              distance    8455
844        2041                  shot    8455
845        2041                header    8472
